Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Sets,Reps,Picture
2414,Medicine ball ninja,"The medicine ball ninja is a dynamic medicine ball movement that challenges both the upper and lower body, while also elevating the heart rate. It's a great movement to include in medicine ball or bodyweight circuit training to increase fatigue and burn serious calories while hammering the muscles of the legs.",Plyometrics,Quadriceps,Medicine Ball,MEDIUM,3-4,12-15,Medicine-Ball-ninja.gif
2148,Rear Leg Raises,,Stretching,Quadriceps,Body Only,LOW,3-4,12-15,e88adc0aed14e349e885e50c7ddc1f93.gif
2119,Forward lunge,"The forward lunge is a lower-body bodyweight exercise targeting the quads, glutes, and hamstrings. It can also be performed holding dumbbells or other weights. The forward lunge places more emphasis on the quads than other lunge variations. It can be performed for time or reps in the lower-body portion of any workout.",Strength,Quadriceps,Body Only,MEDIUM,3-4,12-15,dumbbell-lunges.gif
2073,Smith machine back squat,"The Smith machine back squat is a machine-based exercise targeting the muscles of the lower body. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a full-body or lower-body workout.",Strength,Quadriceps,Machine,MEDIUM,3-4,12-15,smith-machine-squat.gif
1853,Squat - Gethin Variation,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.",Strength,Quadriceps,Barbell,MEDIUM,3-4,12-15,
2217,FYR Alternating Lunge,"The forward lunge is a lower-body bodyweight exercise targeting the quads, glutes, and hamstrings. It can also be performed holding dumbbells or other weights. The forward lunge places more emphasis on the quads than other lunge variations. It can be performed for time or reps in the lower-body portion of any workout.",Strength,Quadriceps,Body Only,MEDIUM,3-4,12-15,
2379,Vertical jump,"The vertical jump is an explosive lower-body exercise that is a common way to measure explosive hip and lower-body strength in athletes. The more explosive you are, the higher you'll be able to jump.",Strength,Quadriceps,Body Only,MEDIUM,3-4,12-15,
2397,MetaBurn Star Jump,,Strength,Quadriceps,Body Only,MEDIUM,3-4,12-15,Jumping-jack.gif
2293,Leg Press,,Strength,Quadriceps,Body Only,MEDIUM,3-4,12-15,leg-press.gif
1955,Leg extension,,Strength,Quadriceps,Dumbbell,MEDIUM,3-4,12-15,leg-extension.gif
2711,30 Shoulders Single-Arm Leaning Cable Lateral Raise,,Strength,Shoulders,Cable,MEDIUM,3-4,12-15,cable-one-arm-lateral-raise.gif
2543,Bent-over dumbbell rear delt row,"The bent-over dumbbell rear delt row is a popular upper-body exercise that targets the muscles on the backside of the shoulder joint, specifically the medial and rear heads of the deltoid. Since pressing movements build the front and (to a lesser degree) side deltoid heads, this move is often done to promote balanced shoulder development. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a shoulder or upper-body workout.",Strength,Shoulders,Dumbbell,MEDIUM,3-4,12-15,
2540,Arnold press,"Named after the iconic bodybuilder and movie star, the Arnold press adds rotation to a classic shoulder press. It allows the hands to rotate naturally, while also hitting all three heads of the deltoids in one motion. It is usually performed for moderate to high reps, such as 8-12 reps or more, as part of the upper-body or shoulder-focused portion of a workout.",Strength,Shoulders,Dumbbell,MEDIUM,3-4,12-15,
2469,Jerk Balance,,Olympic Weightlifting,Shoulders,Barbell,LOW,3-4,12-15,
2553,Cuban press,"The Cuban press is an exercise that targets the muscles of the shoulders, rotator cuff, and upper back. It combines a shoulder external rotation with a dumbbell press, training multiple muscles and motions in a single sequence. It can be performed standing, or as a more difficult variation face-down on an incline bench. It is usually performed with relatively light weight as part of a dynamic warm-up for upper-body lifting.",Strength,Shoulders,Dumbbell,MEDIUM,3-4,12-15,
2658,Seated rear delt fly,"The seated rear delt fly is an upper-body exercise that targets the real deltoid of the shoulder. By performing the movement seated, it eliminates momentum from the rest of the body. This movement is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the upper-body or shoulder-focused portion of a workout.",Strength,Shoulders,Dumbbell,MEDIUM,3-4,12-15,
2608,Holman Squat Thrust to Alternating Renegade Triceps Press,,Strength,Shoulders,Dumbbell,MEDIUM,3-4,12-15,
2705,30 Shoulders Cable Rope Face Pull,,Strength,Shoulders,Cable,MEDIUM,3-4,12-15,
2764,Elbow Circles,,Stretching,Shoulders,,LOW,3-4,12-15,
2452,Snatch-Grip Behind-The-Neck Overhead Press,,Strength,Shoulders,Barbell,LOW,3-4,12-15,
1163,Weighted Push-Up,"The plate-weighted push-up is a simple way to make a classic bodyweight exercise more difficult. It targets all the same muscles as the push-up: chest, triceps, shoulders, upper back, and core. You can balance a plate on your upper back yourself, but it's easier and safer to have someone else put it there. If you stack a few plates up, be sure to have a spotter close at hand.",Strength,Chest,Other,MEDIUM,3-4,12-15,
1130,Decline dumbbell fly and press,"The decline dumbbell fly and press is a dumbbell complex that targets the chest muscles, particularly the lower pecs. By alternating the single-joint fly with the multijoint press, you get the benefits of both and put serious stress on the chest muscles even with relatively light weight. Because the fly will be the limiting factor in weight selection, this pairing is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or chest-focused training.",Strength,Chest,Dumbbell,MEDIUM,3-4,12-15,
1109,Reverse-grip incline dumbbell bench press,"The reverse-grip incline dumbbell bench press is an upper-body exercise targeting the pectoral muscles. Pressing with a reverse grip targets the upper chest in particular, especially when performed on an incline. This press variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or chest-focused training.",Strength,Chest,Dumbbell,LOW,3-4,12-15,
1083,One-Arm Cable Crossover - Gethin Variation,"The single-arm cable cross-over is an isolation movement that uses a cable stack to build bigger and stronger pectoral muscles. Working the chest one side at a time allows you to focus on balance between sides of your chest, and really feel the chest muscles contracting. It is common in upper body and chest-focused muscle-building workouts, often in combination with other presses or flyes to target the chest from different angles.",Strength,Chest,Cable,MEDIUM,3-4,12-15,
981,Side-to-side push-up,The side-to-side push-up is a variation of the push-up exercise where you side-step the opposite hand and foot and perform a push-up.,Strength,Chest,Body Only,LOW,3-4,12-15,
1052,Smith machine bench press,"The Smith machine bench press is a machine-based movement targeting the chest. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a chest or upper-body focused workout.",Strength,Chest,Machine,MEDIUM,3-4,12-15,
1090,UP Cable Fly,,Strength,Chest,Cable,MEDIUM,3-4,12-15,
1175,Bosu Ball Push-Up,,Strength,Chest,Exercise Ball,LOW,3-4,12-15,
924,Incline band bench press,"The incline band bench press is variation of the incline press, a popular upper-body exercise targeting the upper pectoral muscles. While it can be a strength-focused movement, it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or chest-focused training.",Strength,Chest,Bands,MEDIUM,3-4,12-15,
1029,30 Chest Push-Up To Isometric Hold,,Strength,Chest,Body Only,MEDIUM,3-4,12-15,
837,Single-arm cable biceps curl,"The single-arm cable biceps curl is a single-joint isolation exercise for building the biceps. This move is intended to be strict and deliberate; this is not an exercise for using momentum or otherwise cheating. It is usually performed for moderate to high reps, such as 8-12 reps or more per set, as part of an arm-focused workout.",Strength,Biceps,Cable,MEDIUM,3-4,12-15,
730,"Bicep Curls ""21s""",,Strength,Biceps,Barbell,MEDIUM,3-4,12-15,
819,Standing Biceps Cable Curl,"The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the barbell with a handle attached to a cable. This is a common burnout move performed for moderate to high reps, such as 8-12 reps per set, as part of an upper-body or arm-focused workout.",Strength,Biceps,Cable,MEDIUM,3-4,12-15,
729,30 Arms Incline Biceps Curl,,Strength,Biceps,Barbell,MEDIUM,3-4,12-15,
842,30 Arms Cable Straight-Bar Curl,,Strength,Biceps,Cable,MEDIUM,3-4,12-15,
861,Standing EZ-Bar Curl - Gethin Variation,"The standing EZ-bar curl is an immenselyp popular exercise targeting the biceps. It is commonly performed for moderate to high reps as part of an upper body or arms-focused workout. Many gyms even have EZ-bars at fixed weights, allowing for easy weight changes.",Strength,Biceps,E-Z Curl Bar,MEDIUM,3-4,12-15,
864,30 Arms Standing Overhand EZ-Bar Curl,,Strength,Biceps,E-Z Curl Bar,MEDIUM,3-4,12-15,
751,Face-down incline dumbbell biceps curl,"The face-down incline dumbbell biceps curl is an exercise targeting the biceps and performed face down on an incline bench. This creates a vertical arm angle, which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.",Strength,Biceps,Dumbbell,LOW,3-4,12-15,
805,30 Arms Seated Biceps Curl,,Strength,Biceps,Dumbbell,MEDIUM,3-4,12-15,
760,Dumbbell overhead hold with single-arm curl,"The dumbbell overhead hold with single-arm curl combines an isometric overhead hold with a curl for the other arm. The two movements collectively target the muscles of the shoulders and arms, while providing a surprising core challenge. Expect to be challenged, even with light weight.",Strength,Biceps,Dumbbell,MEDIUM,3-4,12-15,
2843,Single-arm low cable triceps extension,"The single-arm low cable triceps extension is a single-joint isolation exercise for building the triceps. It involves driving a handle attached to a cable stack overhead to full extension. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or arm-focused workout.",Strength,Triceps,Cable,MEDIUM,3-4,12-15,
2785,Reverse Band Bench Press,,Powerlifting,Triceps,Barbell,LOW,3-4,12-15,
2849,Reverse-grip cable straight-bar push-down,"The reverse-grip cable straight-bar push-down is a twist on the popular cable straight-bar push-down. The difference has to do with how the hands are positioned holding the bar: the palms facing up rather than down. Because grip will be a limiting factor, this movement is usually performed for moderate to high reps, such as 8-12 reps per set or higher.",Strength,Triceps,Cable,MEDIUM,3-4,12-15,
2848,Incline cable rope triceps extension,"The incline cable rope triceps extension is a single-joint arm exercise performed on an incline bench. This incline position offers a great stretch and range of motion, potentially targeting the long head of the triceps more than some other triceps exercises. It is usually performed for moderate to high reps as part of the arm-focused portion of a workout.",Strength,Triceps,Cable,MEDIUM,3-4,12-15,
2910,Supine Chest Throw,,Plyometrics,Triceps,Medicine Ball,LOW,3-4,12-15,
2798,Dumbbell skullcrusher,"The dumbbell skullcrusher is a triceps exercise that has been a staple of bodybuilders for decades. Skullcrushers are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or arm-focused workout.",Strength,Triceps,Dumbbell,MEDIUM,3-4,12-15,
2845,Paul Carter Overhead Rope Triceps Extension,"The rope overhead triceps extension is a single-joint exercise focused on the triceps and using a cable stack with a rope handle. The overhead position targets the long head of the triceps in particular. Many lifters save this move for last in their triceps workout, performing it for moderate to high reps, like at least 8-12 reps or higher.",Strength,Triceps,Cable,MEDIUM,3-4,12-15,
2831,Holman Overhead Weighted Triceps Press,,Strength,Triceps,Other,MEDIUM,3-4,12-15,
2822,30 Arms Dumbbell Kick-Back,,Strength,Triceps,Dumbbell,MEDIUM,3-4,12-15,
2852,Reverse-Grip Cable Triceps Pushdown - Gethin Variation,"The reverse-grip cable straight-bar push-down is a twist on the popular cable straight-bar push-down. The difference has to do with how the hands are positioned holding the bar: the palms facing up rather than down. Because grip will be a limiting factor, this movement is usually performed for moderate to high reps, such as 8-12 reps per set or higher.",Strength,Triceps,Cable,MEDIUM,3-4,12-15,
1428,FYR2 Kettlebell Swing-Clean-Press Combo,,Strength,Lats,Kettlebells,MEDIUM,3-4,12-15,
1452,Rocky Pull-Ups/Pulldowns,,Strength,Lats,Other,LOW,3-4,12-15,
1446,Holman Standing Flat Back Row,,Strength,Lats,Dumbbell,MEDIUM,3-4,12-15,
1486,Wide-Grip Lat Pull-Down - Gethin Variation,"The lat pull-down is a cable-based exercise machine that’s ubiquitous in gyms around the world. This back builder is easy to learn and highly effective, allowing for variable resistance depending on where you place the pin in the stack.",Strength,Lats,Cable,MEDIUM,3-4,12-15,
1463,Assisted Single-Arm Chin-Up,,Strength,Lats,Other,HIGH,3-4,12-15,
1500,Machine Pull-Over - Gethin Variation,,Strength,Lats,Machine,MEDIUM,3-4,12-15,
1466,Holman Dirty Dog to Renegade Row,,Strength,Lats,Other,MEDIUM,3-4,12-15,
1532,Chair Lower Back Stretch,,Stretching,Lats,,LOW,3-4,12-15,
1531,Dynamic Back Stretch,,Stretching,Lats,,LOW,3-4,12-15,
1414,UN Band Assisted Pull-up Supinated,,Strength,Lats,Bands,MEDIUM,3-4,12-15,
1333,Dumbbell Lying Hamstring Curl,,Strength,Hamstrings,Dumbbell,MEDIUM,3-4,12-15,
1336,Box Jump (Multiple Response),"The box jump is a plyometric exercise that strengthens the muscles of the lower body, including the quads, glutes, calves and hamstrings. They also develop power in the lower-body while revving the heart rate.",Plyometrics,Hamstrings,Other,MEDIUM,3-4,12-15,
1293,Clean Deadlift,,Olympic Weightlifting,Hamstrings,Barbell,LOW,3-4,12-15,
1344,Hamstring slide,"The hamstring slide is a bodyweight exercise targeting the hamstrings. Lying supine on a smooth surface, bend your knees to pull both heels toward you. The sliding action requires a pad, cloth, or furniture sliders under the heels. These are considered more difficult than exercise ball hamstring curls and are a great primer movement before heavy squats or deadlifts, or as an accessory movement later in a lower-body workout.",Strength,Hamstrings,Other,LOW,3-4,12-15,
1315,Hang Snatch - Below Knees,,Olympic Weightlifting,Hamstrings,Barbell,LOW,3-4,12-15,
1353,Smith machine stiff-legged deadlift,"The Smith machine stiff-legged deadlift is a machine-based exercise targeting the muscles of the hamstrings, glutes, and upper back. The Smith machine mimics a barbell but provides more stability. This movement can be programmed like a traditional stiff-legged or Romanian deadlift, in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a full-body or lower-body workout.",Strength,Hamstrings,Machine,LOW,3-4,12-15,
1362,Lying Hamstring Curls - Gethin Variation,"The lying leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. It is similar to the seated leg curl, but the open hip angle in the lying leg curl may incorporate more glute and calf activation. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training.",Strength,Hamstrings,Machine,MEDIUM,3-4,12-15,
1299,Power clean,"The power clean is a full-body movement in which the bar is pulled from the floor and caught in the front rack position in three pulls or phases. The bar is received in the ""power"" position, with the hips higher than a full-depth squat position. The power clean can be used as a component of the clean and press or clean and jerk, but is also a valuable lift to build explosive power and strength.",Strength,Hamstrings,Barbell,MEDIUM,3-4,12-15,
1329,Romanian Deadlift With Dumbbells,"The dumbbell stiff-legged deadlift targets the hamstrings, glutes, low and upper back, as well as the core. The purpose of the stiff-legged, as opposed to Romanian deadlift with slightly bent knees, is to engage the hamstrings and low back to an even greater degree.",Strength,Hamstrings,Dumbbell,LOW,3-4,12-15,
1397,HM Ninja Crawl,,Strength,Hamstrings,Body Only,MEDIUM,3-4,12-15,
1687,UN Dumbbell RDL,,Strength,Middle Back,Dumbbell,MEDIUM,3-4,12-15,
1720,30 Back Leaning V-Bar Pull-Down,,Strength,Middle Back,Cable,MEDIUM,3-4,12-15,
1635,30 Back Reverse-Grip Band-Assisted Pull-Up,,Strength,Middle Back,Bands,MEDIUM,3-4,12-15,
1676,Dumbbell Fix Single-Arm Dumbbell Row,,Strength,Middle Back,Dumbbell,MEDIUM,3-4,12-15,
1657,30 Back Bent-Over Barbell Row,,Strength,Middle Back,Barbell,MEDIUM,3-4,12-15,
1747,30 Back Reverse-Grip Pull-Up,,Strength,Middle Back,Body Only,MEDIUM,3-4,12-15,
1700,Smith machine inverted row,"The Smith machine inverted row is a bodyweight exercise targeting the muscles of the lats (latissimus dorsi) and upper back, using the bar of the Smith machine to hang and pull from. You can change the bar height to customize the difficulty level and desired angle of the row. This variation is usually performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Middle Back,Other,MEDIUM,3-4,12-15,
1641,Yates Row Reverse Grip,,Strength,Middle Back,Barbell,LOW,3-4,12-15,
1721,30 Back Reverse-Grip Pull-Down,,Strength,Middle Back,Cable,MEDIUM,3-4,12-15,
1704,One Arm Chin-Up,,Strength,Middle Back,Other,LOW,3-4,12-15,
1596,Hug A Ball,,Stretching,Lower Back,Body Only,MEDIUM,3-4,12-15,
1574,Single-leg stiff-legged deadlift to row,"The single-leg stiff-legged deadlift to row takes two popular strength moves and combines them into one full-body blaster. Between the deadlift and the row, you'll target the glutes, hamstrings, quads, back, and biceps. Because balance can be a challenge, this movement is usually done with relatively light weights for high reps, such as 8-12 reps per set or more.",Strength,Lower Back,Dumbbell,MEDIUM,3-4,12-15,
1627,Standing Pelvic Tilt,,Stretching,Lower Back,,LOW,3-4,12-15,
1552,UP Conventional Deadlift,"The barbell deadlift is a compound exercise used to develop overall strength and size in the posterior chain. It is a competition lift in the sport of powerlifting, but is also considered a classic benchmark of overall strength. When performed with the hands outside the knees, it is often called a ""conventional"" deadlift. When the feet are wide and the hands are inside the knees, it is a sumo deadlift.",Strength,Lower Back,Barbell,MEDIUM,3-4,12-15,
1615,HM Downward Dog To Right Leg Extension To Warrior Pose,,Strength,Lower Back,Body Only,MEDIUM,3-4,12-15,
1617,HM Good Morning,,Strength,Lower Back,Body Only,MEDIUM,3-4,12-15,
1598,Pelvic Tilt Into Bridge,,Stretching,Lower Back,Body Only,MEDIUM,3-4,12-15,
1576,FYR2 Dumbbell Deadlift to Dumbbell Upright Row,,Strength,Lower Back,Dumbbell,MEDIUM,3-4,12-15,
1544,Stiff Leg Barbell Good Morning,,Strength,Lower Back,Barbell,LOW,3-4,12-15,
1534,Band good morning-,"The band good morning is an exercise targeting the hamstrings and glutes. It is often performed in powerlifting-style training for high reps, or in the place of barbell good mornings.",Strength,Lower Back,Bands,MEDIUM,3-4,12-15,
1238,Knee Across The Body,,Stretching,Glutes,Body Only,MEDIUM,3-4,12-15,
1208,Hip Extension with Bands,,Strength,Glutes,Bands,LOW,3-4,12-15,
1230,UNS Cable Pull-Through,,Strength,Glutes,Cable,MEDIUM,3-4,12-15,
1239,Seated Glute,,Stretching,Glutes,Body Only,LOW,3-4,12-15,
1226,Suspended Hip Thrust,,Strength,Glutes,Other,LOW,3-4,12-15,
1236,Standing hip extension,The standing hip extension is a movement that activates the glutes and hamstrings. It is often performed either for time or reps as part of a dynamic warm-up.,Strength,Glutes,Body Only,LOW,3-4,12-15,
1218,UN Rear Foot Elevated Split Squat,,Strength,Glutes,Barbell,MEDIUM,3-4,12-15,
1278,Holman Daisy Cutter,,Strength,Glutes,Body Only,MEDIUM,3-4,12-15,
1212,FYR2 Banded Glute Bridge,,Strength,Glutes,Bands,MEDIUM,3-4,12-15,
1220,Taylor Kettlebell Swing,,Strength,Glutes,Kettlebells,MEDIUM,3-4,12-15,
895,Standing Calf Raise Facing Hack Squat Machine - Gethin Variation,The reverse hack squat calf raise is a varation of the standing calf raise to target them in a different manner.,Strength,Calves,Machine,MEDIUM,3-4,12-15,
907,Wall calf stretch,The wall calf stretch is a stretch targeting the calf muscles. This is a simple way to stretch these often-tight muscles without any equipment needed.,Stretching,Calves,Body Only,MEDIUM,3-4,12-15,
894,Donkey Calf Raise - Gethin Variation,"The donkey calk raise is a strength and muscle-building exercise focused on the muscles of the lower leg, most prominently the gastrocnemius muscle. While traditional donkey calf raises involved either a specific machine or carrying another person on one's back, this method uses a weight belt. It can be done in traditional muscle-building rep ranges, or for higher reps as part of lower-body training.",Strength,Calves,Machine,MEDIUM,3-4,12-15,
911,HM Left Calf-Spike Sumo Pulse,,Strength,Calves,Body Only,MEDIUM,3-4,12-15,
892,Seated Single-Leg Calf Press - Gethin Variation,"The single-leg machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, but occasionally for higher reps of 20 per set or more.",Strength,Calves,Machine,MEDIUM,3-4,12-15,
904,Peroneals-SMR,,Stretching,Calves,Body Only,MEDIUM,3-4,12-15,
880,Balance Board,,Strength,Calves,Other,LOW,3-4,12-15,
887,Standing Calf Raises,"The standing calf raise is a popular movement to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. When unweighted, it is usually performed for high reps or for time.",Strength,Calves,Machine,LOW,3-4,12-15,
872,Rocking Standing Calf Raise,,Strength,Calves,Barbell,LOW,3-4,12-15,
893,Seated Calf Raise - Gethin Variation,"The machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, and occasionally for very high burnout-focused sets of 50-100 total reps.",Strength,Calves,Machine,MEDIUM,3-4,12-15,
1204,Cable Wrist Curl,,Strength,Forearms,Cable,LOW,3-4,12-15,
1192,Dumbbell suitcase carry,"The dumbbell suitcase carry is similar to a dumbbell farmer's carry, but only uses one dumbbell rather than two. This simple change provides a significant challenge to the abdominal muscles. It can be a challenging finisher to any workout, or work well in fat-loss circuit training or as an accessory movement to heavy lifts like the deadlift.",Strength,Forearms,Dumbbell,MEDIUM,3-4,12-15,
1200,Landmine Press and Catch,"The single-arm linear jammer is an explosive pressing movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. The linear jammer involves pressing the weight into the air, then catching it with the other hand. The movement focuses primarily on the muscles of the shoulders or deltoids. It can be trained in traditional muscle and strength-focused rep ranges, for lower reps with a focus on explosive pressing power, or for higher reps.",Strength,Forearms,Other,MEDIUM,3-4,12-15,
1194,Side plank with dumbbell external rotation,"The side plank with dumbbell external rotation is a movement that combines an isometric side plank hold with a dumbbell rotation to target both the core and the rotator cuff muscles. You probably won't be able to use much weight without disrupting your balance, but even at light weight, this is a movement that can help address multiple muscle groups in a dynamic warm-up or as accessory work at the end of a workout.",Strength,Forearms,Dumbbell,MEDIUM,3-4,12-15,
1185,Seated One-Arm Dumbbell Palms-Up Wrist Curl,,Strength,Forearms,Dumbbell,LOW,3-4,12-15,
1186,Palms-Up Dumbbell Wrist Curl Over A Bench,,Strength,Forearms,Dumbbell,LOW,3-4,12-15,
1206,Wrist Circles,,Stretching,Forearms,Body Only,LOW,3-4,12-15,
1201,Plate halo,The plate halo is an exercise targeting the shoulder complex. It's usually performed as part of a dynamic warm-up prior to an upper-body workout.,Strength,Forearms,Other,MEDIUM,3-4,12-15,
1189,Seated One-Arm Dumbbell Palms-Down Wrist Curl,,Strength,Forearms,Dumbbell,LOW,3-4,12-15,
1177,Standing alternating band speed row,"The standing alternating band speed row is an explosive back exercise using exercise bands. It targets the muscles of the middle and upper back, including the lats (latissimus dorsi), rhomboids, and trapezius, as well as the biceps. It can be performed for time or reps either as part of a power or speed-focused portion of a workout or as a burnout at the end of a workout.",Strength,Forearms,Bands,MEDIUM,3-4,12-15,
1757,Standing dumbbell shrug,"The standing dumbbell shrug is a popular movement to build and strengthen the trapezius muscles. It's often trained on a bodybuilding-style shoulder or back training day, but can also work well in full-body or strength-focused training.",Strength,Traps,Dumbbell,MEDIUM,3-4,12-15,
1768,Leverage Shrug,,Strength,Traps,Machine,MEDIUM,3-4,12-15,
1749,Upright Row - With Bands,,Strength,Traps,Bands,LOW,3-4,12-15,
1770,Smith machine behind-the-back shrug,"The Smith machine behind-the-back shrug is an upper-body exercise targeting the traps (trapezius muscles). It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of shoulder or trap-focused training.",Strength,Traps,Machine,MEDIUM,3-4,12-15,
1760,Standing Dumbbell Shrug - Gethin Variation,"The standing dumbbell shrug is a popular movement to build and strengthen the trapezius muscles. It’s a often trained on a bodybuilding-style shoulder or back training day, but can also work well in full-body or strength-focused training.",Strength,Traps,Dumbbell,MEDIUM,3-4,12-15,
1758,Standing dumbbell upright row,"The standing dumbbell upright row is a popular movement for building stronger and bigger traps and shoulders. Many lifters combine this move with either their back or shoulder workout, since it involves both body parts. It is generally performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Traps,Dumbbell,MEDIUM,3-4,12-15,
1765,Cable straight-bar upright row,"The cable straight-bar upright row is an isolation exercise for the traps and the medial deltoids. It may not be appropriate for all lifters depending on their shoulder health and injury history. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or shoulder-focused workout.",Strength,Traps,Cable,MEDIUM,3-4,12-15,
1750,Band seated row,"The band seated row is a band alternative to the popular cable exercise and trains the muscles of the upper back, including the lats (latissimus dorsi), traps, rhomboids, and rear deltoids. It also targets the biceps to a lesser degree. The band row can work well in a variety of rep ranges, requiring a heavier band for muscle-building and strength workouts and a lighter band for weight-loss work and as an accessory movement.",Strength,Traps,Bands,MEDIUM,3-4,12-15,
1773,Machine Shrug - Gethin Variation,,Strength,Traps,Machine,MEDIUM,3-4,12-15,
1754,Snatch Shrug,,Olympic Weightlifting,Traps,Barbell,LOW,3-4,12-15,
663,Lateral Band Walk,,Strength,Abductors,Bands,MEDIUM,3-4,12-15,
691,HM Right Side-Kick,,Stretching,Abductors,Body Only,MEDIUM,3-4,12-15,
689,HM Straddle Stretch,,Stretching,Abductors,Body Only,MEDIUM,3-4,12-15,
664,FYR2 Standing Banded Leg Abduction,,Strength,Abductors,Bands,MEDIUM,3-4,12-15,
679,IT Band and Glute Stretch,,Stretching,Abductors,Body Only,MEDIUM,3-4,12-15,
673,Fire Hydrant,,Strength,Abductors,Body Only,LOW,3-4,12-15,
685,Dynamic pigeon stretch,"The dynamic pigeon stretch is a lower-body stretch targeting the glutes, hips, and piriformis. It is influenced by the pigeon pose from yoga, but involves moving in and out of the pose. It can be part of a dynamic warm-up or mobility work performed anytime.",Strength,Abductors,Body Only,MEDIUM,3-4,12-15,
